time,open,high,low,close,volume
1784340000,4004.45,4004.46,4004.01,4004.23,0.32552594
1784343600,4004.22,4005.08,4004.22,4004.43,0.51123737
1784347200,4005.96,4006.47,4005.96,4006.37,0.09557682
1784350800,4006.47,4007.21,4006.43,4006.62,0.74340230
1784354400,4006.64,4007.55,4006.29,4006.32,0.37944362
1784358000,4007.57,4009.99,4007.18,4008.22,1.65591844
1784361600,4009.99,4009.99,4009.43,4009.59,0.01908187
1784365200,4009.62,4010.00,4009.52,4009.66,0.08059070
1784368800,4010.00,4010.00,4009.72,4009.88,0.12748411
1784372400,4009.43,4009.99,4009.43,4009.87,1.13253614
1784376000,4009.92,4009.92,4009.43,4009.69,0.06949848
1784379600,4009.43,4009.45,4009.43,4009.43,0.11215459
1784383200,4009.43,4009.43,4007.67,4007.75,4.25643976
1784386800,4007.68,4009.72,4007.67,4007.69,3.17451526
1784390400,4008.74,4009.50,4007.96,4009.16,0.64431505
1784394000,4009.50,4011.00,4009.49,4010.10,0.20331647
1784397600,4010.99,4010.99,4006.16,4008.08,16.43382584
1784401200,4006.88,4007.06,4001.78,4003.50,19.64805361
1784404800,4004.38,4004.38,4002.00,4002.21,5.85589797
1784408400,4003.38,4003.51,4002.02,4003.09,0.17609233
1784412000,4003.94,4003.94,4002.42,4002.69,0.31773500
1784415600,4003.51,4009.56,4002.80,4008.00,0.63671591
1784419200,4008.52,4010.90,4008.34,4010.19,2.24981224
1784422800,4009.56,4009.85,4007.37,4008.33,2.57655399
1784426400,4009.13,4009.52,4008.38,4009.50,1.02030412
1784430000,4008.56,4009.38,4008.55,4008.71,0.03771128
1784433600,4008.56,4008.63,4007.43,4007.82,4.70952385
1784437200,4007.56,4008.79,4007.56,4008.51,0.35640459
1784440800,4008.24,4008.79,4005.67,4007.27,4.08185366
1784444400,4006.45,4008.56,4006.24,4006.85,0.89173520
1784448000,4006.97,4006.97,4005.73,4006.30,0.03024318
1784451600,4005.54,4005.54,4003.93,4004.77,1.67619998
1784455200,4005.00,4005.26,4003.29,4003.64,4.84637554
1784458800,4003.82,4003.82,4002.72,4002.97,2.23845437
1784462400,4003.47,4003.47,3999.66,3999.94,2.99000377
1784466000,3999.89,4002.48,3999.89,4000.40,0.96748967
1784469600,4002.13,4005.26,4002.12,4003.33,1.82633198
1784473200,4005.00,4005.12,4003.76,4004.54,0.02149085
1784476800,4004.72,4005.12,4003.56,4004.08,0.65602691
1784480400,4003.52,4006.64,4003.52,4004.25,2.50062953
1784484000,4006.12,4006.15,4004.66,4005.56,0.46741654
1784487600,4006.08,4006.16,4006.08,4006.12,0.32501485
1784491200,4006.13,4006.15,4004.92,4005.01,0.84320397
1784494800,4004.99,4005.69,4003.31,4004.62,0.12776161
1784498400,4003.30,4004.04,3987.67,3994.70,4.98350646
1784502000,3988.07,3988.88,3984.01,3985.77,0.39360816
1784505600,3988.73,4001.10,3981.92,3987.59,2.64890288
1784509200,4004.00,4010.86,3991.80,4007.38,4.68921348
1784512800,4000.85,4019.08,3998.11,4013.47,4.07133161
1784516400,4013.38,4019.07,4013.38,4016.43,0.41635585
1784520000,4017.27,4018.41,4012.78,4016.73,9.71211689
1784523600,4011.38,4011.77,4000.25,4004.82,7.82452989
1784527200,4004.72,4005.42,3997.21,4000.13,0.59482336
1784530800,3997.61,4012.00,3997.61,3998.44,4.80565431
1784534400,4015.60,4021.32,4010.22,4016.22,10.78780284
1784538000,4011.94,4013.04,4008.13,4012.05,0.76559685
1784541600,4013.63,4015.79,4012.00,4013.76,3.31580336
1784545200,4016.70,4032.39,4012.65,4026.29,11.57809249
1784548800,4017.20,4017.20,4001.32,4011.49,2.96682317
1784552400,4004.78,4008.29,3999.41,4002.84,14.54127916
1784556000,3998.80,4006.05,3993.40,3996.42,3.93951371
1784559600,3999.86,4010.65,3999.85,4005.82,2.66126538
1784563200,4005.11,4010.97,3997.40,4002.76,8.46109559
1784566800,4003.53,4006.30,3998.50,4003.33,3.26098592
1784570400,4001.81,4003.77,3999.37,4000.60,2.37193243
1784574000,4001.00,4008.50,3999.00,4004.87,2.38081696
1784577600,4001.44,4002.99,4000.30,4002.26,0.06806235
1784581200,4001.20,4005.15,4000.58,4002.67,0.52704355
1784584800,4006.04,4006.04,3995.51,4000.25,5.51642190
1784588400,3995.50,4002.54,3995.50,3999.82,1.80615020
1784592000,4004.07,4016.20,4000.12,4012.08,1.42404293
1784595600,4020.21,4025.00,4016.63,4021.02,1.93763035
1784599200,4015.60,4033.80,4015.58,4029.37,4.59676960
1784602800,4030.10,4041.31,4030.10,4037.25,2.82056583
1784606400,4039.31,4041.00,4036.63,4037.34,2.39299258
1784610000,4040.77,4057.05,4040.53,4047.88,4.56709527
1784613600,4052.84,4073.38,4052.84,4065.16,5.46326121
1784617200,4068.87,4068.93,4058.29,4063.20,3.24338415
1784620800,4060.57,4060.57,4052.65,4058.55,19.22473948
1784624400,4058.01,4059.81,4054.87,4058.03,5.98293184
1784628000,4058.32,4060.14,4054.01,4058.36,2.04531296
1784631600,4054.10,4054.10,4047.14,4049.82,1.10484183
1784635200,4049.31,4057.25,4045.38,4050.36,0.61647056
1784638800,4049.49,4052.26,4037.84,4042.73,8.84071730
1784642400,4046.55,4066.04,4046.55,4060.05,7.48597513
1784646000,4060.92,4072.69,4057.82,4065.45,1.57904031
1784649600,4064.90,4068.02,4060.94,4064.92,2.83639415
1784653200,4063.09,4063.47,4051.28,4056.74,21.98462780
1784656800,4060.25,4075.88,4059.00,4073.62,2.44823391
1784660400,4074.47,4075.61,4068.79,4073.03,47.05914476
1784664000,4075.59,4075.62,4068.78,4073.43,1.59987641
1784667600,4068.58,4071.35,4067.76,4068.17,1.39069018
1784671200,4071.81,4074.82,4068.85,4071.46,13.25147780
1784674800,4071.19,4072.81,4070.77,4072.05,0.67953185
1784678400,4070.61,4089.99,4068.94,4077.80,8.87174743
1784682000,4090.00,4110.69,4090.00,4106.52,13.85363025
1784685600,4110.19,4118.21,4109.07,4111.66,0.51671980
1784689200,4118.84,4129.45,4118.84,4124.85,31.76115461
1784692800,4117.92,4117.93,4113.97,4115.93,7.47206216
1784696400,4115.42,4121.13,4112.01,4114.46,2.84839663
1784700000,4119.15,4123.18,4103.31,4112.23,40.90410817
1784703600,4104.99,4108.62,4098.36,4102.51,22.11425603
1784707200,4100.18,4108.59,4099.66,4107.21,9.48103551
1784710800,4108.09,4110.46,4104.07,4108.33,4.22546637
1784714400,4103.58,4110.28,4103.58,4108.98,3.39877214
1784718000,4106.71,4112.87,4105.59,4108.54,6.97225474
1784721600,4115.57,4123.09,4100.37,4116.49,12.13401069
1784725200,4108.14,4143.52,4108.14,4138.52,69.53510501
1784728800,4145.65,4151.64,4135.05,4146.40,3.82787355
1784732400,4139.81,4156.59,4139.81,4150.61,5.79633685
1784736000,4149.74,4149.99,4135.88,4142.23,2.27083528
1784739600,4139.11,4139.11,4131.02,4133.20,1.33453019
1784743200,4129.90,4131.30,4126.68,4129.42,1.22914549
1784746800,4127.78,4129.09,4123.61,4124.96,3.08074314
1784750400,4124.98,4130.29,4123.08,4126.63,5.32203689
1784754000,4124.71,4126.92,4124.70,4126.00,2.88741113
1784757600,4120.51,4121.50,4107.33,4113.88,10.95041816
1784761200,4114.70,4124.78,4111.14,4113.18,4.05385550
1784764800,4125.83,4126.28,4119.80,4123.64,2.87089854
1784768400,4130.46,4131.00,4108.52,4119.63,10.43367761
1784772000,4111.11,4111.12,4106.23,4109.89,1.71792919
1784775600,4120.45,4125.65,4117.87,4117.87,0.11638281
1784779200,4116.02,4121.27,4112.81,4112.81,1.00148142
1784782800,4113.32,4120.39,4113.32,4115.85,1.90593054
1784786400,4117.59,4119.59,4111.97,4113.49,0.60466729
1784790000,4112.94,4112.94,4085.04,4085.21,59.91123347
1784793600,4084.60,4088.60,4082.80,4087.34,10.26860121
1784797200,4089.99,4090.00,4083.51,4083.51,3.95661116
1784800800,4083.73,4087.10,4081.76,4086.67,0.72758901
1784804400,4085.91,4086.51,4069.84,4080.01,6.55822250
1784808000,4079.02,4079.02,4059.10,4059.10,7.77381028
1784811600,4056.85,4057.12,4034.41,4039.81,9.03991436
1784815200,4040.74,4056.05,4038.19,4053.06,14.74369722
1784818800,4053.31,4053.31,4040.00,4042.12,1.73596225
1784822400,4043.93,4046.15,4042.31,4045.76,2.10325274
1784826000,4046.85,4047.29,4037.53,4038.10,9.39467925
1784829600,4037.14,4042.38,4035.85,4040.83,2.46952500
1784833200,4041.29,4045.06,4037.24,4043.69,26.01551740
1784836800,4045.16,4045.32,4044.28,4044.81,6.23970869
1784840400,4044.97,4045.14,4044.31,4044.31,1.02870693
1784844000,4044.31,4045.46,4044.29,4045.01,5.18917253
1784847600,4045.20,4045.52,4043.64,4044.51,5.24592358
1784851200,4043.70,4045.21,4037.24,4045.21,1.75998637
1784854800,4040.86,4044.96,4039.55,4041.86,2.05724573
1784858400,4039.60,4042.22,4021.56,4021.56,63.49377433
1784862000,4021.56,4028.66,4021.56,4024.70,3.56939807
1784865600,4024.11,4025.85,4022.89,4022.89,0.26633781
1784869200,4022.98,4026.13,4018.88,4019.20,4.67913402
1784872800,4019.11,4033.71,4019.11,4030.00,2.64984478
1784876400,4034.19,4045.05,4034.19,4040.98,0.68232865
1784880000,4041.01,4050.04,4039.04,4050.04,5.30626039
1784883600,4048.94,4050.43,4045.45,4046.93,3.03486138
1784887200,4050.96,4054.10,4050.16,4051.82,1.12438387
1784890800,4052.61,4053.53,4046.25,4051.61,6.96782405
1784894400,4048.65,4052.19,4044.89,4046.63,0.37137421
1784898000,4047.04,4059.13,4037.77,4059.03,9.09298507
1784901600,4059.30,4061.89,4048.94,4057.21,17.40356971
1784905200,4058.59,4072.44,4057.03,4069.17,13.78000856
1784908800,4068.98,4070.75,4057.85,4057.85,1.69745249
1784912400,4060.22,4061.69,4056.70,4057.70,0.27281435
1784916000,4056.65,4056.65,4046.71,4048.45,0.29199311
1784919600,4047.18,4050.89,4045.01,4048.16,0.51665006
1784923200,4047.78,4048.91,4045.90,4045.90,2.44078582
1784926800,4046.44,4050.41,4045.74,4050.41,0.25765800
1784930400,4050.93,4050.93,4048.89,4050.17,0.52879794
1784934000,4050.36,4051.85,4050.19,4051.85,0.40931982
1784937600,4052.66,4052.66,4051.08,4051.08,5.88093670
1784941200,4051.66,4051.66,4050.76,4051.09,1.77693083
1784944800,4050.83,4050.95,4049.97,4049.97,0.17579910
1784948400,4049.31,4049.31,4048.21,4049.12,0.84098887
1784952000,4049.20,4049.20,4048.71,4048.98,1.43874265
1784955600,4049.14,4049.27,4048.71,4049.02,0.28843166
1784959200,4049.02,4049.58,4048.46,4048.49,2.17167561
1784962800,4049.19,4050.88,4048.05,4048.86,17.60521183
1784966400,4048.86,4049.18,4047.71,4048.61,5.09875398
1784970000,4048.61,4050.51,4047.67,4049.08,10.94025848
1784973600,4049.06,4050.82,4046.71,4048.47,28.62511601
1784977200,4048.68,4049.21,4048.23,4049.00,1.45691300
